State,District,City,Latitude,Longitude
Punjab,Kapurthala,-,31.37,75.38
Punjab,Ludhiana,-,30.88,75.85
Punjab,Mansa,-,0,0
Punjab,Moga,-,30.82,75.17
Punjab,Sri Muktsar Sahib,-,30.47,74.5
Punjab,Pathankot,-,32.27,75.63
Punjab,Patiala,-,30.33,76.38
Punjab,Rupnagar,-,30.97,76.52
Punjab,Sahibzada Ajit Singh Nagar,-,30.68,76.72
Punjab,Sangrur,-,30.23,75.83
Punjab,Shahid Bhagat Singh Nagar,-,31.12,76.1
Punjab,Tarn Taran,-,31.45,74.92
Rajasthan,Ajmer,-,26.45,74.63
Rajasthan,Alwar,-,27.57,76.6
Rajasthan,Bikaner,-,28.02,73.3
Rajasthan,Barmer,-,25.75,71.38
Rajasthan,Banswara,-,27.2,74
Rajasthan,Bharatpur,-,27.22,77.5
Rajasthan,Baran,-,25.1,76.52
Rajasthan,Bundi,-,25.43,75.63
Rajasthan,Bhilwara,-,25.35,74.63
Rajasthan,Churu,-,28.28,74.95
Rajasthan,Chittorgarh,-,24.87,74.62
Rajasthan,Dausa,-,26.53,76.18
Rajasthan,Dholpur,-,26.7,77.9
Rajasthan,Dungarpur,-,23.83,73.72
Rajasthan,Ganganagar,-,29.92,73.87
Rajasthan,Hanumangarh,-,29.57,74.32
Rajasthan,Jhunjhunu,-,75.02,76.07
Rajasthan,Jalore,-,25.35,72.62
Rajasthan,Jodhpur,-,27.62,72.92
Rajasthan,Jaipur,-,26.92,75.82
Rajasthan,Jaisalmer,-,26.9,70.9
Rajasthan,Jhalawar,-,24.6,76.15
Rajasthan,Karauli,-,26.5,77.02
Rajasthan,Kota,-,25.17,73.82
Rajasthan,Nagaur,-,27.2,73.73
Rajasthan,Pali,-,25.77,73.32
Rajasthan,Pratapgarh,-,0,0
Rajasthan,Rajsamand,-,25.07,73.87
Rajasthan,Sikar,-,27.22,74.43
Rajasthan,Sawai Madhopur,-,26,76.35
Rajasthan,Sirohi,-,24.88,72.85
Rajasthan,Tonk,-,26.15,75.78
Rajasthan,Udaipur,-,24.38,73.62
Sikkim,East Sikkim,-,27.32,88.6
Sikkim,North Sikkim,-,27.52,88.53
Sikkim,South Sikkim,-,27.17,88.37
Sikkim,West Sikkim,-,27.28,88.25
Tamil Nadu,Ariyalur,-,11.13,79.07
Tamil Nadu,Chengalpattu,-,12.68,79.98
Tamil Nadu,Chennai,-,13.08,80.27
Tamil Nadu,Coimbatore,-,11,76.97
Tamil Nadu,Cuddalore,-,11.75,79.75
Tamil Nadu,Dharmapuri,-,12.12,78.15
Tamil Nadu,Dindigul,-,10.35,77.98
Tamil Nadu,Erode,-,11.35,77.73
Tamil Nadu,Kallakurichi,-,11.73,78.95
Tamil Nadu,Kanchipuram,-,12.82,79.72
Tamil Nadu,Kanyakumari,-,8.07,77.53
Tamil Nadu,Karur,-,10.95,78.07
Tamil Nadu,Krishnagiri,-,12.52,78.2
Tamil Nadu,Madurai,-,9.83,77.83
Tamil Nadu,Mayiladuthurai,-,11.1,79.65
Tamil Nadu,Nagapattinam,-,10.77,79.82
Tamil Nadu,Nilgiris,-,11.42,76.68
Tamil Nadu,Namakkal,-,11.22,78.17
Tamil Nadu,Perambalur,-,11.23,78.87
Tamil Nadu,Pudukkottai,-,10.38,78.82
Tamil Nadu,Ramanathapuram,-,9.38,78.75
Tamil Nadu,Ranipet,-,12.93,79.33
Tamil Nadu,Salem,-,11.65,78.13
Tamil Nadu,Sivaganga,-,9.72,78.82
Tamil Nadu,Tenkasi,-,8.97,77.3
Tamil Nadu,Tirupur,-,11.18,77.25
Tamil Nadu,Tiruchirappalli,-,10.78,78.68
Tamil Nadu,Theni,-,10.07,77.75
Tamil Nadu,Tirunelveli,-,8.72,77.7
Tamil Nadu,Thanjavur,-,10.78,79.13
Tamil Nadu,Thoothukudi,-,8.8,78.13
Tamil Nadu,Tirupattur,-,12.5,78.6
Tamil Nadu,Tiruvallur,-,13.13,79.9
Tamil Nadu,Tiruvarur,-,10.77,79.63
Tamil Nadu,Tiruvannamalai,-,12.42,79.12
Tamil Nadu,Vellore,-,12.9,79.13
Tamil Nadu,Viluppuram,-,11.95,79.52
Tamil Nadu,Virudhunagar,-,9.58,77.95
Telangana,Adilabad,-,19.67,78.52
Telangana,Komaram Bheem,-,0,0
